Date,Cases,Deaths,Hospitalisations,Cases_diff,Deaths_diff
2020-12-31,287018.0,5549.0,211.0,4376.0,84.0
2021-01-01,291392.0,5615.0,132.0,4374.0,66.0
2021-01-02,295450.0,5654.0,101.0,4058.0,39.0
2021-01-03,298068.0,5727.0,52.0,2618.0,73.0
2021-01-04,301212.0,5763.0,159.0,3144.0,36.0
2021-01-05,304420.0,5827.0,106.0,3208.0,64.0
2021-01-06,310201.0,5923.0,114.0,5781.0,96.0
2021-01-07,315738.0,5998.0,69.0,5537.0,75.0
2021-01-08,322707.0,6073.0,108.0,6969.0,75.0
2021-01-09,328925.0,6142.0,82.0,6218.0,69.0
2021-01-10,333842.0,6170.0,41.0,4917.0,28.0
2021-01-11,338071.0,6170.0,195.0,4229.0,0.0
2021-01-12,341460.0,6395.0,221.0,3389.0,225.0
2021-01-13,346482.0,6606.0,228.0,5022.0,211.0
2021-01-14,350976.0,6720.0,246.0,4494.0,114.0
2021-01-15,354892.0,6819.0,226.0,3916.0,99.0
2021-01-16,358462.0,6887.0,91.0,3570.0,68.0
2021-01-17,361881.0,6946.0,133.0,3419.0,59.0
2021-01-18,364269.0,7009.0,128.0,2388.0,63.0
2021-01-19,366432.0,7057.0,211.0,2163.0,48.0
2021-01-20,370264.0,7137.0,177.0,3832.0,80.0
2021-01-21,373096.0,7230.0,201.0,2832.0,93.0
2021-01-22,375761.0,7396.0,152.0,2665.0,166.0
2021-01-23,378656.0,7597.0,119.0,2895.0,201.0
2021-01-24,380381.0,7642.0,85.0,1725.0,45.0
2021-01-25,381574.0,7675.0,84.0,1193.0,33.0
2021-01-26,382907.0,7816.0,139.0,1333.0,141.0
2021-01-27,384440.0,7891.0,120.0,1533.0,75.0
2021-01-28,385706.0,7961.0,,1266.0,70.0
2021-01-29,386770.0,8087.0,,1064.0,126.0
2021-01-30,387673.0,8140.0,88.0,903.0,53.0
2021-01-31,388620.0,8198.0,55.0,947.0,58.0
2021-02-01,389230.0,8249.0,,610.0,51.0
2021-02-02,389841.0,8340.0,98.0,611.0,91.0
2021-02-03,390890.0,8437.0,,1049.0,97.0
2021-02-04,391798.0,8490.0,,908.0,53.0
2021-02-05,392794.0,8542.0,,996.0,52.0
2021-02-06,393555.0,8592.0,,761.0,50.0
2021-02-07,394240.0,8615.0,,685.0,23.0
2021-02-08,394629.0,8660.0,,389.0,45.0
2021-02-09,395125.0,8741.0,,496.0,81.0
2021-02-10,395838.0,8867.0,,713.0,126.0
2021-02-11,396560.0,8949.0,,722.0,82.0
2021-02-12,397259.0,9115.0,,699.0,166.0
2021-02-13,398005.0,9144.0,,746.0,29.0
2021-02-14,398506.0,9181.0,,501.0,37.0
2021-02-15,398796.0,9239.0,,290.0,58.0
2021-02-16,399168.0,9295.0,,372.0,56.0
2021-02-17,399922.0,9371.0,,754.0,76.0
2021-02-18,400636.0,9392.0,,714.0,21.0
2021-02-19,401219.0,9435.0,,583.0,43.0
2021-02-20,401632.0,9464.0,28.0,413.0,29.0
2021-02-21,401995.0,9481.0,14.0,363.0,17.0
2021-02-22,402249.0,9496.0,40.0,254.0,15.0
2021-02-23,402538.0,9535.0,64.0,289.0,39.0
2021-02-24,403074.0,9547.0,50.0,536.0,12.0
2021-02-25,403528.0,9561.0,65.0,454.0,14.0
2021-02-26,403985.0,9620.0,52.0,457.0,59.0
2021-02-27,404335.0,9653.0,36.0,350.0,33.0
2021-02-28,404639.0,9678.0,15.0,304.0,25.0
2021-03-01,404785.0,9697.0,20.0,146.0,19.0
2021-03-02,405035.0,9740.0,30.0,250.0,43.0
2021-03-03,405463.0,9770.0,56.0,428.0,30.0
2021-03-04,405860.0,9797.0,51.0,397.0,27.0
2021-03-05,406198.0,9813.0,31.0,338.0,16.0
2021-03-06,406516.0,9842.0,21.0,318.0,29.0
2021-03-07,406729.0,9854.0,9.0,213.0,12.0
2021-03-08,406950.0,9862.0,29.0,221.0,8.0
2021-03-09,407289.0,9890.0,39.0,339.0,28.0
2021-03-10,407847.0,9942.0,28.0,558.0,52.0
2021-03-11,408255.0,9967.0,25.0,408.0,25.0
2021-03-12,408564.0,9992.0,30.0,309.0,25.0
2021-03-13,408921.0,9999.0,,357.0,7.0
2021-03-14,409173.0,10011.0,4.0,252.0,12.0
2021-03-15,409404.0,10019.0,10.0,231.0,8.0
2021-03-16,409647.0,10048.0,30.0,243.0,29.0
2021-03-17,410060.0,10086.0,36.0,413.0,38.0
2021-03-18,410392.0,10098.0,27.0,332.0,12.0
2021-03-19,410787.0,10119.0,21.0,395.0,21.0
2021-03-20,411133.0,10128.0,18.0,346.0,9.0
2021-03-21,411428.0,10133.0,7.0,295.0,5.0
2021-03-22,411601.0,10138.0,11.0,173.0,5.0
2021-03-23,411777.0,10142.0,17.0,176.0,4.0
2021-03-24,412106.0,10166.0,25.0,329.0,24.0
2021-03-25,412539.0,10190.0,21.0,433.0,24.0
2021-03-26,412929.0,10213.0,35.0,390.0,23.0
2021-03-27,413265.0,10229.0,16.0,336.0,16.0
2021-03-28,413491.0,10235.0,10.0,226.0,6.0
2021-03-29,413641.0,10250.0,20.0,150.0,15.0
2021-03-30,413871.0,10295.0,29.0,230.0,45.0
2021-03-31,414261.0,10318.0,41.0,390.0,23.0
2021-04-01,414623.0,10331.0,29.0,362.0,13.0
2021-04-02,415038.0,10347.0,12.0,415.0,16.0
2021-04-03,415266.0,10348.0,2.0,228.0,1.0
2021-04-04,415420.0,10350.0,0.0,154.0,2.0
2021-04-05,415540.0,10354.0,2.0,120.0,4.0
2021-04-06,415682.0,10363.0,23.0,142.0,9.0
2021-04-07,415902.0,10388.0,12.0,220.0,25.0
2021-04-08,416353.0,10396.0,27.0,451.0,8.0
2021-04-09,416704.0,10407.0,36.0,351.0,11.0
2021-04-10,417070.0,10418.0,24.0,366.0,11.0
2021-04-11,417351.0,10424.0,15.0,281.0,6.0
2021-04-12,417526.0,10425.0,26.0,175.0,1.0
2021-04-13,417799.0,10453.0,28.0,273.0,28.0
2021-04-14,418185.0,10479.0,38.0,386.0,26.0
2021-04-15,418540.0,10495.0,35.0,355.0,16.0
2021-04-16,418962.0,10507.0,28.0,422.0,12.0
2021-04-17,419305.0,10520.0,7.0,343.0,13.0
2021-04-18,419591.0,10524.0,10.0,286.0,4.0
2021-04-19,419823.0,10525.0,22.0,232.0,1.0
2021-04-20,420068.0,10536.0,30.0,245.0,11.0
2021-04-21,420482.0,10544.0,48.0,414.0,8.0
2021-04-22,420908.0,10564.0,32.0,426.0,20.0
